X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-7873733.226005,-3953728.43348194,144,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,LAS TORRES,LOS COPIHUES,NULL,-33.439064,-70.730949,1,13117,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131170249,LAS TORRES - LOS COPIHUES,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873700.16411624,-3942901.32990131,145,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LO MARCOLETA,DEL TRIGAL,NULL,-33.357864,-70.730652,1,13125,1,URBANA,26,OTROS NO CONSIDERADOS,131250382,DEL TRIGAL - LO MARCOLETA,3,3,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7873663.65132326,-3952967.13870773,146,2019,13,REGION METROPOLITANA,CERRO NAVIA,URBANA,LOS DURAZNOS,CARD RAUL SILVA HENRIQUEZ,NULL,-33.433357,-70.730324,1,13103,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131030382,CARD RAUL SILVA HENRIQUEZ - LOS DURAZNOS,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873653.40993011,-3951157.28033213,147,2019,13,REGION METROPOLITANA,QUINTA NORMA,URBANA,SALVADOR GUTIERREZ,NULL,6916,-33.419788,-70.730232,1,13126,1,URBANA,1,TRAMO DE VIA RECTA,131260347,- SALVADOR GUTIERREZ,2,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7873585.50504072,-3944436.3764518,148,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,GUARD RIQUELME,GRAL SAN MARTIN,NULL,-33.369381,-70.729622,1,13125,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131250276,GRAL SAN MARTIN - GUARD RIQUELME,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873557.45252904,-3949643.3468093,149,2019,13,REGION METROPOLITANA,RENCA,URBANA,JOSE MIGUEL INFANTE,TOTORAL BAJO,NULL,-33.408436,-70.72937,1,13128,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131280326,JOSE MIGUEL INFANTE - TOTORAL BAJO,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-7873525.16987671,-3942792.57682103,150,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,LAS TORRES,LIBER BERNARDO O`HIGGINS,NULL,-33.357048,-70.72908,1,13125,1,URBANA,1,TRAMO DE VIA RECTA,131250357,LAS TORRES - LIBER BERNARDO O`HIGGINS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873492.88722438,-3954490.71220116,151,2019,13,REGION METROPOLITANA,LO PRADO,URBANA,SAN PABLO,NULL,6600,-33.444778,-70.72879,1,13117,1,URBANA,1,TRAMO DE VIA RECTA,131170415,- SAN PABLO,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-7873483.53638715,-3949198.21971561,152,2019,13,REGION METROPOLITANA,RENCA,URBANA,CONDELL,MIRAFLORES,NULL,-33.405098,-70.728706,1,13128,1,URBANA,1,TRAMO DE VIA RECTA,131280191,CONDELL - MIRAFLORES,1,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-7873433.4426163,-3949278.62936581,153,2019,13,REGION METROPOLITANA,RENCA,URBANA,CONDELL,VOLCAN ACONCAGUA,NULL,-33.405701,-70.728256,1,13128,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131280191,CONDELL - VOLCAN ACONCAGUA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
