X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7852820.27921453,-3958662.57053727,597,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131220495,GRECIA,131220330,CONSISTORIAL, ,CONSISTORIAL - GRECIA,GRECIA @ CONSISTORIAL,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852774.43899789,-3963140.76523716,598,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131220669,LAS PERDICES,131221193,QUEB DE MACUL, ,LAS PERDICES - QUEB DE MACUL,LAS PERDICES @ QUEB DE MACUL,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7852753.05766217,-3955353.8089328,599,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131130234,LARRAIN,131130329,NVA LARRAIN, ,LARRAIN - NVA LARRAIN,LARRAIN @ NVA LARRAIN,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852615.50617773,-3960723.31169735,600,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131220804,LOS PRESIDENTES,131220669,LAS PERDICES, ,LAS PERDICES - LOS PRESIDENTES,LOS PRESIDENTES @ LAS PERDICES,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852572.75061426,-3953461.73812992,601,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131130001,23 DE FEBRERO,131130439,SARA COLVIN, ,23 DE FEBRERO - SARA COLVIN,23 DE FEBRERO @ SARA COLVIN,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7852475.76053701,-3955396.24841953,602,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130113,DIP LAURA RODRIGUEZ,131130234,LARRAIN, ,DIP LAURA RODRIGUEZ - LARRAIN,DIP LAURA RODRIGUEZ @ LARRAIN,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7852332.27320758,-3952127.53353298,603,1,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131140920,PADRE HURTADO SUR,131140896,NVA BILBAO, ,NVA BILBAO - PADRE HURTADO SUR,PADRE HURTADO SUR @ NVA BILBAO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7852307.83775288,-3955411.41524723,604,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131130413,QUINCHAMALI,131130234,LARRAIN, ,LARRAIN - QUINCHAMALI,QUINCHAMALI @ LARRAIN,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852306.08308859,-3955259.59200244,605,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131130234,LARRAIN, , ,9100,- LARRAIN,9100 LARRAIN,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7852102.37694615,-3957331.49358189,606,1,PENALOLEN,2016,1,13122,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131221196,QUEB DE SUCA,131221343,VALLE HERMOSO, ,QUEB DE SUCA - VALLE HERMOSO,QUEB DE SUCA @ VALLE HERMOSO,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7851992.91760996,-3976191.79631727,607,1,PUENTE ALTO,2016,1,13201,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACIÓN,132011177,HNOS CARRERA,132010877,EL SAUCE, ,EL SAUCE - HNOS CARRERA,HNOS CARRERA @ EL SAUCE,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7851842.89376311,-3957112.84610411,608,1,LA REINA,2016,1,13113,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131130205,JOSE ARRIETA, , ,9160,- JOSE ARRIETA,9160 JOSE ARRIETA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7851621.55337971,-3946146.70275261,609,2,LAS CONDES,2016,1,13114,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131140645,LAS CONDES,131140699,LO FONTECILLA, ,LAS CONDES - LO FONTECILLA,LAS CONDES @ LO FONTECILLA,ASFALTO,0,1,0,1,BICICLETA,PARTICULAR
