X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,Año,Claseaccid,Cód_Regi,Cód_Zona,Zona,Cód_Calle,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7860939.14334474,-3955791.06426221,237,-70.6160178,-33.4545245,REGION METROPOLITANA,13120,NUNOA,DUBLE ALMEYDA,CAP FUENTES,0,"DUBLE ALMEYDA & CAP FUENTES, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200169,0,0,0,0,2,1
-7860925.22840839,-3956468.41525369,238,-70.6158928,-33.459601,REGION METROPOLITANA,13120,NUNOA,REP DE ISRAEL,SUAREZ MUJICA,0,"REP DE ISRAEL & SUAREZ MUJICA, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200628,0,1,1,2,0,2
-7860914.95361939,-3958003.84654108,239,-70.6158005,-33.4711074,REGION METROPOLITANA,13120,NUNOA,GUILLERMO MANN, ,1751,"GUILLERMO MANN 1751, ??ªU??ªOA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131200265,0,0,0,1,1,1
-7860883.90661341,-3956896.20822291,240,-70.6155216,-33.462807,REGION METROPOLITANA,13120,NUNOA,MARATHON, ,1000,"MARATHON 1000, ??ªU??ªOA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131200463,0,0,0,1,1,1
-7860869.81356588,-3953144.7785697,241,-70.615395,-33.4346887,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO,ELIODORO YANEZ,0,"ANDRES BELLO & ELIODORO YANEZ, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230035,0,1,0,0,1,1
-7860843.85386062,-3951188.62266068,242,-70.6151618,-33.420023,REGION METROPOLITANA,13123,PROVIDENCIA,PEDRO DE VALDIVIA NORTE,LOS ESPANOLES,0,"PEDRO DE VALDIVIA NORTE & LOS ESPANOLES, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230420,0,1,0,3,3,3
-7860841.26011649,-3956758.87508141,243,-70.6151385,-33.4617778,REGION METROPOLITANA,13120,NUNOA,GRECIA,MARATHON,0,"GRECIA & MARATHON, ??ªU??ªOA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131200256,0,0,0,1,1,1
-7860816.65850902,-3953421.01483757,244,-70.6149175,-33.4367595,REGION METROPOLITANA,13123,PROVIDENCIA,ANTONIO VARAS, ,1053,"ANTONIO VARAS 1053, PROVIDENCIA",CHILE,RANGE_INTERPOLATED,2021,1,13,1,URBANA,131230041,0,0,0,0,2,1
-7860795.68591696,-3951934.11494744,245,-70.6147291,-33.4256124,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,CARLOS ANTUNEZ,0,"PROVIDENCIA & CARLOS ANTUNEZ, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230437,0,0,0,1,3,2
-7860732.72361297,-3951436.32340065,246,-70.6141635,-33.4218802,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO,PEDRO DE VALDIVIA,0,"ANDRES BELLO & PEDRO DE VALDIVIA, PROVIDENCIA",CHILE,GEOMETRIC_CENTER,2021,1,13,1,URBANA,131230035,0,0,1,3,2,3
