X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7860666.76681465,-3958137.24428924,1048,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131200463,MARATHON,131200400,LOS ALERCES,0,0,1,0,1,BICICLETA,0,1,0,1,2
-7860643.83499955,-3955043.44236647,1049,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200689,SUCRE,131200461,MANUEL MONTT,0,1,0,0,0,BICICLETA,1,0,0,0,1
-7860635.37471826,-3963021.4142877,1050,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131180123,DEPARTAMENTAL,131180549,VICUNA MACKENNA,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860601.42227357,-3959894.67243157,1051,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131180482,QUILIN,131180341,MARATHON,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860597.19213291,-3956748.09345802,1052,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200256,GRECIA, , ,1820,0,0,1,0,BICICLETA,0,0,1,0,1
-7860584.39039149,-3960599.42704476,1053,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131180305,LOS MANIOS, , ,1949,0,0,0,1,BICICLETA,0,0,0,1,1
-7860561.45857637,-3954157.99284398,1054,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230041,ANTONIO VARAS,131230097,CARLOS WILSON,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860552.99829507,-3955828.75683885,1055,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131200169,DUBLE ALMEYDA,131200612,QUIRIHUE,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860470.62187189,-3960232.76241713,1056,2018,1,13118,MACUL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131180341,MARATHON,131180329,LOS TULIPEROS,0,0,0,0,1,BICICLETA,0,0,0,1,1
-7860457.04089402,-3951044.84876215,1057,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230489,STA MARIA,131230407,PADRE LETELIER,0,0,0,0,2,BICICLETA,0,0,0,2,2
-7860440.89956784,-3953456.16513486,1058,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230433,POCURO,131230454,REGIMIENTO CAZADORES,0,0,1,0,0,BICICLETA,0,1,0,0,1
-7860400.93587065,-3951217.29763131,1059,2018,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230396,NVA DE LYON,131230035,ANDRES BELLO,0,0,0,2,0,BICICLETA,0,0,2,0,2
-7860389.91524106,-3954773.67793041,1060,2018,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131200033,ANTONIO VARAS,131200064,BRETANA,0,0,1,0,0,BICICLETA,0,1,0,0,1
