X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-7868867.59917042,-3953182.63833827,359,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260241,MARTINEZ DE ROZAS,131010370,LOURDES,0,LOURDES - MARTINEZ DE ROZAS,0,0,0,0,BICICLETA,0,0,0,0,1
-7868865.83169178,-3951776.28092059,360,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260069,CARRASCAL,131260399,VILLASANA,0,CARRASCAL - VILLASANA,1,0,0,0,BICICLETA,1,0,0,0,2
-7868857.87758741,-3961417.20987318,361,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131210146,CENTRAL,0, ,5860,CENTRAL  5860,0,0,0,1,BICICLETA,0,0,0,0,1
-7868775.20804154,-3945009.63941386,362,2017,1,13104,CONCHALI,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131040343,INDEPENDENCIA,131040160,CARD JOSE MARIA CARO,0,CARD JOSE MARIA CARO - INDEPENDENCIA,0,1,0,0,BICICLETA,0,1,0,0,1
-7868763.93502175,-3953173.55172414,363,2017,1,13101,SANTIAGO,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260241,MARTINEZ DE ROZAS,131010370,LOURDES,0,LOURDES - MARTINEZ DE ROZAS,0,0,1,0,BICICLETA,0,0,1,0,1
-7868738.46991439,-3961059.69567587,364,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131210148,CENTRO AMERICA,131210059,ALEJANDRO PETION,0,ALEJANDRO PETION - CENTRO AMERICA,0,0,1,0,BICICLETA,0,0,1,0,1
-7868720.097447,-3960474.0362815,365,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131210253,JAMAICA,131210146,CENTRAL,0,CENTRAL - JAMAICA,0,0,0,0,BICICLETA,0,0,0,0,1
-7868707.09529152,-3953632.39842224,366,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260113,DR LA SIERRA,131010370,LOURDES,0,DR LA SIERRA - LOURDES,0,0,0,0,BICICLETA,0,0,0,0,1
-7868674.16702939,-3967849.97684213,367,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050684,PSJE 13,131050107,CAPRICORNIO,0,CAPRICORNIO - PSJE 13,0,0,0,1,BICICLETA,0,0,0,0,1
-7868559.9783989,-3968559.8070781,368,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131050563,LUIS BARROS BORGONO,131050748,RENGO,0,LUIS BARROS BORGONO - RENGO,0,0,0,1,BICICLETA,0,0,0,0,1
-7868519.35502235,-3954456.93290299,369,2017,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,25,PLAZA DE PEAJE,131060256,GRAL VELASQUEZ,131060564,PORTALES,0,GRAL VELASQUEZ - PORTALES,0,0,0,0,BICICLETA,0,0,0,0,1
-7868489.72475222,-3953155.11051645,370,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010546,RIVAS VICUNA,131260241,MARTINEZ DE ROZAS,0,MARTINEZ DE ROZAS - RIVAS VICUNA,0,1,0,0,BICICLETA,0,1,0,0,1
-7868418.19778008,-3967521.95627882,371,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131050005,18 DE SEPTIEMBRE,131050681,PSJE 10,0,18 DE SEPTIEMBRE - PSJE 10,0,0,0,1,BICICLETA,0,0,0,0,1
-7868385.23758221,-3961477.21320463,372,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131210440,PLANO REGULADOR,131210362,MAIPU,0,MAIPU - PLANO REGULADOR,0,0,0,1,BICICLETA,0,0,0,0,1
-7868369.36190991,-3970406.04462727,373,2017,1,13105,EL BOSQUE,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131050137,CLAUDIO ARRAU,131050243,GRAN AVDA JOSE MIGUEL CARRERA,0,CLAUDIO ARRAU - GRAN AVDA JOSE MIGUEL CARRERA,0,0,0,1,BICICLETA,0,0,0,0,1
-7868341.42193201,-3961806.19220369,374,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131210418,PASEO GROHNERT,0, ,5885,PASEO GROHNERT  5885,0,0,0,1,BICICLETA,0,0,0,0,1
-7868276.75644108,-3962016.12711588,375,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131210154,CLOTARIO BLEST,131210098,BALAKIREFF,0,BALAKIREFF - CLOTARIO BLEST,0,0,0,1,BICICLETA,0,0,0,0,1
-7868241.30475406,-3953029.23022245,376,2017,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260023,ANDES,131010464,PATRICIO LYNCH,0,ANDES - PATRICIO LYNCH,1,0,0,0,BICICLETA,1,0,0,0,1
-7868226.02705117,-3959782.46935335,377,2017,1,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131210362,MAIPU,131210281,LA RURAL,0,LA RURAL - MAIPU,0,1,0,1,BICICLETA,0,1,0,0,2
-7868222.76650109,-3965976.53124301,378,2017,1,13131,SAN RAMON,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131310264,PEDRO AGUIRRE CERDA,131310042,AMERICO VESPUCIO,0,AMERICO VESPUCIO - PEDRO AGUIRRE CERDA,0,0,0,2,BICICLETA,0,0,0,0,1
